"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8547","API. Неавторизованный пользователь не может перевести валидную сумму на счет другого пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","unauthorizedUserCannotTransferFundsTest"
"","137","API. Пользователь не может авторизоваться с невалидными данными Password без заглавной буквы","","2026-08-06","passed","2026-08-06","","api.iteration_1.LoginUserTest","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","5058","API. Авторизованный пользователь может пополнить счет [4] depositAmount=0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","7663","API. Пользователь без прав администратора не может удалить пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_3.DeleteUserTest","api.iteration_3.DeleteUserTest","userWithoutAdminPermissionsCannotDeleteUserTest"
"","3292","API. Пользователь может авторизоваться","","2026-08-06","passed","2026-08-06","","api.iteration_1.LoginUserTest","api.iteration_1.LoginUserTest","userCanGenerateAuthTokenTest"
"","9610","UI. Администратор может авторизоваться с валидными данными","","2026-08-06","passed","2026-08-06","","ui.iteration_1.LoginUserTest","ui.iteration_1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","25079","UI. Пользователь может выполнить перевод между своими счетами","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCanTransferFundsBetweenTheirAccountsTest"
"","1008","API. Администратор не может создать пользователя с невалидными данными [6] userDto=CreateUserRequestDto(username=testX2p, password=pass$1R, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","2172","API. Администратор не может создать пользователя с невалидными данными [2] userDto=CreateUserRequestDto(username=ab, password=test$X2p, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","3604","API. Авторизованный пользователь не может пополнить несуществующий счет","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositNonExistingAccountTest"
"","2477","API. Администратор не может создать пользователя с невалидными данными [9] userDto=CreateUserRequestDto(username=testX2p, password=password$1, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6163","API. Авторизованный пользователь может пополнить счет [3] depositAmount=0.02","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","2202","API. Администратор не может удалить пользователя через невалидный id","","2026-08-06","passed","2026-08-06","","api.iteration_3.DeleteUserTest","api.iteration_3.DeleteUserTest","adminCannotDeleteUserWithInvalidIdTest"
"","31955","UI. Администратор может создать пользователя","","2026-08-06","passed","2026-08-06","","ui.iteration_1.CreateUserTest","ui.iteration_1.CreateUserTest","adminCanCreateUserTest"
"","1283","API. Администратор не может создать пользователя с невалидными данными [12] userDto=CreateUserRequestDto(username=testX2p, password=test$X2p, role=TEST), errorKey=role, errorValues=[Role must be either 'ADMIN' or 'USER']","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6140","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [3] updateUserDto=UpdateUserRequestDto(name=Mikhail Nepomnyaschikh1)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","3308","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [4] updateUserDto=UpdateUserRequestDto(name=Mikhail! Nepomnyaschikh)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
